name,Kommune
Gemeinde Menteroda,Gemeinde Menteroda
Gemeinde Modautal,Gemeinde Modautal
Gemeinde Münster,Gemeinde Münster
Gemeinde Nesse-Apfelstädt,Gemeinde Nesse-Apfelstädt
Gemeinde Nessetal und den zu erfüllenden Gemeinden,Gemeinde Nessetal und den zu erfüllenden Gemeinden
Gemeinde Nobitz und der beauftragenden Gemeinden,Gemeinde Nobitz
Nobitz,Gemeinde Nobitz
Stadtverwaltung Nottertal-Heilinger Höhen,Gemeinde Nottertal-Heilinger Höhen
Gemeinde Ostercappeln,Gemeinde Ostercappeln
Gemeinde Otzberg,Gemeinde Otzberg
Gemeinde Petershagen/Eggersdorf,Gemeinde Petershagen/Eggersdorf
Gemeinde Remptendorf,Gemeinde Remptendorf
Gemeinde Roetgen - Der Bürgermeister,Gemeinde Roetgen
Gemeinde Rosenthal am Rennsteig,Gemeinde Rosenthal am Rennsteig
Gemeinde Roßdorf,Gemeinde Roßdorf
Gemeinde Schleusegrund,Gemeinde Schleusegrund
simmerath,Gemeinde Simmerath
Gemeinde Sollstedt,Gemeinde Sollstedt
Gemeinde Sonnenstein,Gemeinde Sonnenstein
Gemeinde Stockelsdorf,Gemeinde Stockelsdorf
Gemeinde Sylt/Amt Landschaft S,Gemeinde Sylt/Amt Landschaft S
Gemeinde Veilsdorf,Gemeinde Veilsdorf
Gemeinde Wallenhorst,Gemeinde Wallenhorst
Gemeinde Wennigsen (Deister),Gemeinde Wennigsen (Deister)
Gemeinde Werther,Gemeinde Werther
Gemeinde Weyhe,Gemeinde Weyhe
Landgemeinde Uder und der beauftragenden Gemeinden,Gemeinden
Landgemeinde Georgenthal und der beauftragenden Gemeinden,Georgenthal
Stadtverwaltung Gera,Gera
Landgemeinde Geratal,Geratal
Stadt Gladbeck,Gladbeck
Stadt Glinde,Glinde
Glückstadt,Glückstadt
Stadt Goch,Goch
Stadtverwaltung Goch,Goch
Stadt Göttingen,Göttingen
Gemeinde Grasberg,Grasberg
Samtgemeinde Grasleben,Grasleben
Stadt Greiz,Greiz
Stadtverwaltung Greiz,Greiz
Greven,Greven
Stadt Greven,Greven
Stadt Grevenbroich,Grevenbroich
"Stadt Grevenbroich, Wahlamt",Grevenbroich
Stadt Gronau,Gronau
Landgemeinde Großbreitenbach,Großbreitenbach
Gemeinde Großenkneten,Großenkneten
Stadt Gütersloh,Gütersloh
Stadt Haan,Haan
Stadt Hagen,Hagen
Hagen,Hagen
Kreisfreie Stadt Halle (Saale),Halle (Saale)
Samtgemeinde Hambergen,Hambergen
Gemeinde Hambühren,Hambühren
Archäologisches Museum Hamburg,Hamburg
"BA Hamburg-Nord, IT-Angelegenheiten der Bezirksverwaltung",Hamburg
Behörde für Stadtentwicklung und Umwelt,Hamburg
Behörde für Stadtentwicklung und Wohnen (BSW),Hamburg
Bezirksamt Altona,Hamburg
"Bezirksamt Altona - Dezernat Wirtschaft, Bauen und Umwelt",Hamburg
"Bezirksamt Hamburg-Nord - Dezernat Wirtschaft, Bauen und Umwelt - Zentrum für Wirtschaftsförderung, Bauen und Umwelt",Hamburg
"Bezirksamt Wandsbek - Zentrum für Wirtschaftsförderung, Bauen und Umwelt",Hamburg
"Bezirksämter, Bezirksamt Altona, Dezernat 4 - Wirtschaft, Bauen und Umwelt, Fachamt Stadt- und Landschaftsplanung",Hamburg
"Bezirksämter, Bezirksamt Bergedorf, Dezernat 4 - Wirtschaft, Bauen und Umwelt, Fachamt Stadt- und Landschaftsplanung",Hamburg
"Bezirksämter, Bezirksamt Eimsbüttel, Dezernat 4 - Wirtschaft, Bauen und Umwelt, Fachamt Stadt- und Landschaftsplanung",Hamburg
"Bezirksämter, Bezirksamt Hamburg-Mitte, Dezernat Wirtschaft, Bauen und Umwelt, Fachamt Stadt- und Landschaftsplanung",Hamburg
"Bezirksämter, Bezirksamt Hamburg-Nord, Dezernat 4 - Wirtschaft, Bauen und Umwelt, Fachamt Stadt- und Landschaftsplanung",Hamburg
"Bezirksämter, Bezirksamt Harburg, Dezernat 4 - Wirtschaft, Bauen und Umwelt, Fachamt Stadt- und Landschaftsplanung",Hamburg
"Bezirksämter, Bezirksamt Wandsbek, Dezernat 4 - Wirtschaft, Bauen und Umwelt, Fachamt Stadt- und Landschaftplanung",Hamburg
"Finanzbehörde Hamburg, Finanzbehörde, Fachliche Leitstelle DRiVe",Hamburg
"Finanzbehörde Hamburg, Finanzbehörde, Fachliche Leitstelle INEZ",Hamburg
Hamburg Port Authority,Hamburg
Hamburg Tourismus GmbH,Hamburg
Hamburger Hochbahn AG,Hamburg
"Hamburger Hochbahn AG, Sachgebiet Vermessung",Hamburg
Hamburger Verkehrsbund GmbH,Hamburg
Hamburger Verkehrsverbund GmbH,Hamburg
Hamburger Wasserwerke GmbH,Hamburg
Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,Hamburg
S-Bahn Hamburg GmbH,Hamburg
Stadtreinigung Hamburg,Hamburg
"Statistisches Amt für Hamburg und Schleswig-Holstein, Informationsservice und Bibliothek - Hamburg",Hamburg
"Stiftung Hamburger Öffentliche Bücherhallen 
(Bücherhallen Hamburg)",Hamburg
Technische Universität Hamburg (TUHH),Hamburg
Technische Universität Hamburg-Harburg (TUHH) - Institut für Wasserbau,Hamburg
Bezirksamt Wandsbek,Hamburg
Verkehrsbetriebe Hamburg-Holstein GmbH,Hamburg
Landesbetrieb Geoinformation und Vermessung,Hamburg
"Behörde für Wissenschaft, Forschung, Gleichstellung und Bezirke (BWFGB)",Hamburg
StadtHamburg,Hamburg
Transparenzportal Hamburg: Behörde für Stadtentwicklung und Umwelt,Hamburg
Transparenzportal Hamburg: Behörde für Umwelt und Energie,Hamburg
Transparenzportal Hamburg: Behörde für Umwelt und Energie (BUE),Hamburg
"Transparenzportal Hamburg: Behörde für Umwelt und Energie (BUE), Immissionsschutz und Abfallwirtschaft (I)",Hamburg
"Transparenzportal Hamburg: Behörde für Umwelt und Energie (BUE), Naturschutz, Grünplanung und Bodenschutz (N)",Hamburg
"Transparenzportal Hamburg: Behörde für Umwelt und Energie (BUE), Wasser, Abwasser und Geologie (W)",Hamburg
"Transparenzportal Hamburg: Behörde für Umwelt und Energie (BUE), Wasser, Abwasser und Geologie (W), W1 - Wasserwirtschaft",Hamburg
"Transparenzportal Hamburg: Behörde für Umwelt und Energie (BUE), Wasser, Abwasser und Geologie (W), W1 - Wasserwirtschaft, Grundsatz, Wasserwirtschaftliche Grundlagen, Informationssysteme",Hamburg
"Transparenzportal Hamburg: Behörde für Umwelt und Energie (BUE), Wasser, Abwasser und Geologie (W), W1 - Wasserwirtschaft, Schutz und Bewirtschaftung der Oberflächengewässer",Hamburg
"Transparenzportal Hamburg: Behörde für Umwelt, Klima, Energie und Agrarwirtschaft (BUKEA)",Hamburg
"Transparenzportal Hamburg: Behörde für Verkehr und Mobilitätswende (BVM), Amt Verkehr",Hamburg
"Transparenzportal Hamburg: Behörde für Wirtschaft, Verkehr und Innovation, Amt für Verkehr und Straßenwesen",Hamburg
"Transparenzportal Hamburg: Finanzbehörde, Organisation und Zentrale Dienste",Hamburg
Transparenzportal Hamburg: Hamburg Port Authority,Hamburg
Transparenzportal Hamburg: Hamburger Hochbahn AG,Hamburg
Transparenzportal Hamburg: Hamburger Verkehrsbund GmbH,Hamburg
Transparenzportal Hamburg: Hamburger Verkehrsverbund GmbH,Hamburg
Transparenzportal Hamburg: Landesbetrieb Geoinformation und Vermessung,Hamburg
"Transparenzportal Hamburg: Landesbetrieb Straßen, Brücken und Gewässer",Hamburg
Transparenzportal Hamburg: Landesbetrieb Verkehr (LBV),Hamburg
"Transparenzportal Hamburg: Statistisches Amt für Hamburg und Schleswig-Holstein, Vertrieb des Statistikamts Nord",Hamburg
Geschäftsstelle der Metropolregion Hamburg,Hamburg
Koordinierungsstelle Geodateninfrastruktur Hamburg,Hamburg
Psychotherapeutenkammer Hamburg,Hamburg
Stadt Hamm,Hamm
Stadtplanungsamt Stadt Hamm,Hamm
Vermessungs- und Katasteramt Hamm,Hamm
Stadt Hanau,Hanau
Landeshauptstadt Hannover,Hannover
Landeshauptstadt Hannover - Fachbereich Tiefbau - Sachgebiet Verkehrsmanagement,Hannover
Bezirksamt Harburg,Harburg
Stadt Haren (Ems),Haren (Ems)
Samtgemeinde Harpstedt,Harpstedt
Stadt Harsewinkel,Harsewinkel
Stadt Haßfurt,Haßfurt
Stadt Hassfurt Smart Green City,Haßfurt
Ortsgemeinde Haßloch,Haßloch
Gemeinde Hatten,Hatten
Stadt Hattingen,Hattingen
Samtgemeinde Heeseberg,Heeseberg
Abfallwirtschaft und Stadtreinigung Heidelberg,Heidelberg
Stadt Heidelberg,Heidelberg
Heilbad Heiligenstadt,Heilbad Heiligenstadt
Stadt Heilbad Heiligenstadt,Heilbad Heiligenstadt
Stadt Heilbronn,Heilbronn
Offene Daten Heilbronn,Heilbronn
Stadt Heiligenhaus,Heiligenhaus
Stadt Heimbach,Heimbach
Heimbach,Heimbach
Stadt Hemmingen,Hemmingen
Stadtverwaltung Hennef,Hennef
Stadt Hennef,Hennef
Stadt Hennef (Sieg),Hennef
Gemeinde Herbsleben,Herbsleben
Stadt Heringen/Helme,Heringen/Helme
Stadt Heringen/Helme und der beauftragenden Gemeinden,Heringen/Helme
Herne,Herne
Stadt Herne,Herne
Entsorgung Herne,Herne
Stadt Herrenberg,Herrenberg
Verbandsgemeindeverwaltung Herrstein-Rhaunen,Herrstein-Rhaunen
Stadt Herzogenrath,Herzogenrath
Stadt Hildburghausen,Hildburghausen
Stadt Hilden,Hilden
Gewerbeaufsichtsamt Hildesheim,Hildesheim
Gewerbeaufsichtsamt Hildesheim,Hildesheim
Stadt Hirschberg,Hirschberg
Magistrat der Stadt Hochheim am Main,Hochheim am Main
Hochsauerlandkreis,Hochsauerlandkreis
Hochsauerlandlkreis,Hochsauerlandkreis
Hochtaunuskreis,Hochtaunuskreis
Verbandsgemeinde Höhr-Grenzhausen,Höhr-Grenzhausen
Gemeinde Holzwickede,Holzwickede
Hürtgenwald,Hürtgenwald
Stadt Hürth,Hürth
Stadt Ilmenau,Ilmenau
Landratsamt Ilm-Kreis,Ilm-Kreis
Gemeinde Ilmtal-Weinstraße,Ilmtal-Weinstraße
Stadt Ingolstadt,Ingolstadt
Wasserwirtschaftsamt Ingolstadt,Ingolstadt
Stadt Iserlohn,Iserlohn
Stadt Itzehoe,Itzehoe
Stadtverwaltung Jena,Jena
Stadt Jüchen,Jüchen
Jülich,Jülich
Stadt Kaarst,Kaarst
Stadt Kahla,Kahla
Stadtverwaltung Kaiserslautern,Kaiserslautern
Stadt Kaltenkirchen,Kaltenkirchen
Stadt Kamen,Kamen
Stadt Kappeln in Verwaltungsgemeinschaft mit dem Amt Kappeln-Land,Kappeln
Karlsruher Verkehrsverbund (KVV),Karlsruhe
Stadt Karlsruhe,Karlsruhe
Stadtwerke Karlsruhe,Karlsruhe
Stadt Karlsruhe - Tiefbauamt,Karlsruhe
Stadt Kassel,Kassel
 Stadt Kempten (Allgäu) - Digitale Stadtentwicklung,Kempten (Allgäu)
Stadt Kempten (Allgäu),Kempten (Allgäu)
Stadt Kempten (Allgäu) - Digitale Stadtentwicklung,Kempten (Allgäu)
Kerpen,Kerpen
Landeshauptstadt Kiel,Kiel
"Landeshauptstadt Kiel, Amt für Finanzwirtschaft",Kiel
"Landeshauptstadt Kiel, Bürger- und Ordnungsamt, Abteilung Statistik",Kiel
"Landeshauptstadt Kiel, Bürger- und Ordnungsamt, Wahlen und Abstimmungen",Kiel
Kunsthalle Kiel,Kiel
Samtgemeinde Kirchdorf,Kirchdorf
Verbandsgemeindeverwaltung Kirchheimbolanden,Kirchheimbolanden
Kreisverwaltung Kleve,Kleve
Stadt Kleve,Kleve
Standesamt Kleve,Kleve
"Wirtschaft, Tourismus & Marketing Stadt Kleve GmbH",Kleve
Kölleda,Kölleda
Stadt Kölleda,Kölleda
AWB Köln,Köln
Feuerwehr Koeln,Köln
FH Köln,Köln
Köln,Köln
KölnBäder GmbH,Köln
Kölner Zoo,Köln
KVB Koeln,Köln
Polizei NRW Koeln,Köln
Stadt Köln,Köln
Stadtbibliothek Köln,Köln
VHS Koeln,Köln
"Amt für Kinder, Jugend und Familie Stadt Köln",Köln
"Amt für Liegenschaften, Vermessung und Kataster Stadt Köln, Archäologischen Zone Köln",Köln
Amt für öffentliche Ordnung Stadt Köln,Köln
Amt für Stadtentwicklung und Statistik - Raumbezugssystem Stadt Köln,Köln
Amt für Stadtentwicklung und Statistik - Statistisches Informationssystem Stadt Köln,Köln
Amt für Straßen und Verkehrsentwicklung  Stadt Köln,Köln
Amt für Straßen und Verkehrsentwicklung Stadt Köln,Köln
Amt für Verkehrsmanagement  Stadt Köln,Köln
Amt für Verkehrsmanagement Stadt Köln,Köln
Bauverwaltungsamt Stadt Köln,Köln
Gebäudewirtschaft der Stadt Köln,Köln
Geodatenmanagement Stadt Köln,Köln
Gesundheitsamt Stadt Köln,Köln
Integrierte Jugendhilfe- und Schulentwicklungsplanung Stadt Köln,Köln
Museum für Angewandte Kunst Köln,Köln
Rautenstrauch-Joest-Museum Köln,Köln
Rheinisches Bildarchiv der Stadt Köln,Köln
Römisch Germanisches Museum Köln,Köln
Standesamt Stadt Köln,Köln
Umwelt- und Verbraucherschutzamt Stadt Köln,Köln
Wahlamt der Stadt Köln,Köln
Köln Bäder,Köln
Polizei Köln,Köln
Stadtbibliothek Köln,Köln
Zoologischer Garten Köln,Köln
Redaktion offenedaten-koeln,Köln
Amt für Gleichstellung von Frauen und Männern Stadt Köln,Köln
Amt für Denkmalschutz und Denkmalpflege Stadt Köln,Köln
Amt für Integration und Vielfalt Stadt Köln,Köln
Amt für Landschaftspflege und Grünflächen Stadt Köln,Köln
Amt für Schulentwicklung Stadt Köln,Köln
Bezirksregierung Köln,Köln
Bühnen der Stadt Köln,Köln
Büro für Diversity-Management Stadt Köln,Köln
Fahrradbeauftragter Stadt Köln,Köln
"Gewerbe - An-, Ab- und Ummeldung Stadt Köln",Köln
Kämmerei Stadt Köln,Köln
Kinder- und Jugendärztlicher Dienst Stadt Köln,Köln
Kultruamt Stadt Köln,Köln
Kulturamt Stadt köln,Köln
KVB Köln,Köln
Museumsdiesnt Köln,Köln
NS-Dokumentationszentrum der Stadt Köln,Köln
offenedaten-koeln.de,Köln
Redaktion offenedaten-koeln (https://www.offenedaten-koeln.de/impressum),Köln
Redaktion offenedaten-koeln.de,Köln
Sportamt Stadt Köln,Köln
Stadtentwässerungsbetriebe Köln,Köln
Stadtplanungsamt Stadt  Köln,Köln
VHS Köln,Köln
Zentrale Vergabestelle Stadt Köln,Köln
Amt für nachhaltige Mobilitätsentwicklung Stadt Köln,Köln
"Karten, Kataster und Vermessung - Stadt Köln",Köln
Stadt Königslutter am Elm,Königslutter am Elm
Stadt Konstanz,Konstanz
Stadtwerke Konstanz,Konstanz
Offene Daten Konstanz,Konstanz
"Stadt Konstanz, Amt für Liegenschaften und Geoinformation",Konstanz
Team Offene Daten Konstanz,Konstanz
Entsorgungsbetriebe Stadt Konstanz,Konstanz
Offene Daten Stadt Konstanz,Konstanz
Stadtwerke Konstanz GmbH,Konstanz
Team Offene Daten Stadt Konstanz,Konstanz
Stadt Korschenbroich,Korschenbroich
Kommunalbetrieb Krefeld AöR,Krefeld
Netzgesellschaft Niederrhein MBH,Krefeld
Stadt Krefeld,Krefeld
Kreis Bergstraße,Kreis Bergstraße
Kreis Euskirchen,Kreis Euskirchen
Kreis Groß-Gerau,Kreis Groß-Gerau
Kreis Gütersloh,Kreis Gütersloh
Herford,Kreis Herford
Kreis Herford,Kreis Herford
Kreis Herzogtum Lauenburg,Kreis Herzogtum Lauenburg
Kreis Kleve,Kreis Kleve
Kreisverwaltung Kreis Kleve,Kreis Kleve
opendata@kreis-kleve.de,Kreis Kleve
Kreis Minden-Lübbecke,Kreis Minden-Lübbecke
Kreis Nordfriesland,Kreis Nordfriesland
"Kreis Paderborn, Amt für Geoinformation, Kataster und Vermessung",Kreis Paderborn
Kreis Pinneberg,Kreis Pinneberg
Kreis Recklinghausen,Kreis Recklinghausen
Kreisverwaltung Recklinghausen,Kreis Recklinghausen
Kreis Rendsburg-Eckernförde,Kreis Rendsburg-Eckernförde
Klimaschutzagentur im Kreis Rendsburg-Eckernförde gGmbH,Kreis Rendsburg-Eckernförde
Kreis Schleswig-Flensburg,Kreis Schleswig-Flensburg
Kreis Schleswig-Flensburg,Kreis Schleswig-Flensburg
Kreis Soest,Kreis Soest
Kreis Steinfurt,Kreis Steinfurt
Kreis Stormarn,Kreis Stormarn
Kreisarchiv Stormarn,Kreis Stormarn
Kreis Unna,Kreis Unna
unna,Kreis Unna
"Kreis Unna, Fachbereich Schulen und Bildung",Kreis Unna
Kreis Viersen,Kreis Viersen
Kreis Warendorf,Kreis Warendorf
Kreis Wesel ,Kreis Wesel
Kreisstadt Dietzenbach,Kreisstadt Dietzenbach
Kreisstadt Hofheim am Taunus,Kreisstadt Hofheim am Taunus
Kreisverwaltung Landkreis Mansfeld-Südharz,Kreisverwaltung Landkreis Mansfeld-Südharz
Kreuzau,Kreuzau
Landratsamt Kyffhäuserkreis,Kyffhäuserkreis
Stadt Lahr - Stadtplanungsamt,Lahr
Stadt Landau,Landau in der Pfalz
Stadt Landau - Stadtbauamt,Landau in der Pfalz
Landgemeinde Buttstädt,Landgemeinde Buttstädt
Georgenthal,Landgemeinde Georgenthal
Landgemeinde Georgenthal und beauftragende Gemeinden,Landgemeinde Georgenthal
Landgemeinde Georgenthal und der beauftragenden Gemeinden,Landgemeinde Georgenthal
Landgemeinde und erfüllende Gemeinde Georgenthal,Landgemeinde Georgenthal
Grammetal,Landgemeinde Grammetal
Landgemeinde Grammetal,Landgemeinde Grammetal
Landgemeinde Greußen,Landgemeinde Greußen
LRA Altenburger Land,Landkreis Altenburger Land
Landratsamt Altenburger Land,Landkreis Altenburger Land
Landratsamt Amberg-Sulzbach,Landkreis Amberg-Sulzbach
Landkreis Ammerland - Test,Landkreis Ammerland
Barnimer Energiebeteiligungsgesellschaft mbH,Landkreis Barnim
Landkreis Bernkastel-Wittlich,Landkreis Bernkastel-Wittlich
LandkreisCham,Landkreis Cham
Landkreis Cham,Landkreis Cham
Landkreis Darmstadt-Dieburg,Landkreis Darmstadt-Dieburg
Landkreis Diepholz,Landkreis Diepholz
Landratsamt Eichsfeld,Landkreis Eichself
Landratsamt Gotha,Landkreis Gotha
Landkreis Göttingen,Landkreis Göttingen
Landratsamt Greiz,Landkreis Greiz
Landratsamt Greiz,Landkreis Greiz
Landratsamt Hildburghausen,Landkreis Hildburghausen
Landkreis Leer,Landkreis Leer
Landkreis Limburg-Weilburg,Landkreis Limburg-Weilburg
Landkreis Ludwigslust-Parchim,Landkreis Ludwigslust-Parchim
Landkreis Mecklenburgische Seenplatte,Landkreis Mecklenburgische Seenplatte
LRA Landkreis Meißen,Landkreis Meißen
Landratsamt Neustadt an der Waldnaab,Landkreis Neustadt an der Waldnaab
Landkreis Nienburg/Weser,Landkreis Nienburg/Weser
Landkreis Nordhausen,Landkreis Nordhausen
Landkreis Osterholz,Landkreis Osterholz
Landkreis Rostock,Landkreis Rostock
Landkreis Saalfeld-Rudolstadt,Landkreis Saalfeld-Rudolstadt
LRA Landkreis Sächsische Schweiz-Osterzgebirge,Landkreis Sächsische Schweiz-Osterzgebirge
Landratsamt Schmalkalden - Meiningen,Landkreis Schmalkalden - Meiningen
Landratsamt Schmalkalden-Meiningen,Landkreis Schmalkalden-Meiningen
Landratsamt Sömmerda,Landkreis Sömmerda
Landkreis Sonneberg,Landkreis Sonneberg
Landratsamt Landkreis Sonneberg,Landkreis Sonneberg
Landkreis Verden,Landkreis Verden
Landratsamt Vogtlandkreis,Landkreis Vogtlandkreis
Landkreis Vorpommern-Greifswald,Landkreis Vorpommern-Greifswald
Landkreis Vorpommern-Rügen,Landkreis Vorpommern-Rügen
Landratsamt Weimarer Land,Landkreis Weimarer Land
Verbandsgemeinde Landstuhl,Landstuhl
Verbandsgemeindeverwaltung Landstuhl,Landstuhl
Stadt Langenhagen,Langenhagen
Langerwehe,Langerwehe
Stadt Lauscha,Lauscha
Gemeinde Lehre,Lehre
Amt für Geoinformation und Bodenordnung - Stadt Leipzig,Leipzig
Amt für Stadtgrün und Gewässer - Stadt Leipzig,Leipzig
Amt für Statistik und Wahlen - Stadt Leipzig,Leipzig
"Amt für Statistik und Wahlen - Stadt Leipzig
",Leipzig
Amt für Umweltschutz - Stadt Leipzig,Leipzig
Amt für Umweltschutz der Stadt Leipzig,Leipzig
Leipziger Städtische Bibliotheken,Leipzig
Leipziger Verkehrsbetriebe,Leipzig
Leipziger Verkehrsbetriebe (LVB) GmbH,Leipzig
Stadt Leipzig,Leipzig
"Stadt Leipzig, Stadtarchiv",Leipzig
Stadtarchiv Leipzig,Leipzig
Stadtverwaltung Leipzig,Leipzig
Standesamt Leipzig,Leipzig
Gesundheitsamt Leipzig,Leipzig
Amt für Geoinformation und Bodenordnung der Stadt Leipzig,Leipzig
Leipzig Tourismus und Marketing GmbH,Leipzig
Leipziger Wohnungs- und Baugesellschaft mbH,Leipzig
"Stadt Leipzig, Amt für Statistik und Wahlen",Leipzig
Stadt Leipzig - Verkehrs- und Tiefbauamt,Leipzig
Stadt Lemgo,Lemgo
Stadt Lengerich,Lengerich
Stadt Leutenberg,Leutenberg
Gemeinde Lilienthal,Lilienthal
Stadt Lingen (Ems),Lingen (Ems)
Verbandsgemeinde Lingenfeld,Lingenfeld
Linnich,Linnich
Stadt Lippstadt,Lippstadt
Gemeinde Lotte,Lotte
Hansestadt Lübeck,Lübeck
Kommunale Statistikstelle Lübeck,Lübeck
Stadt Lucka,Lucka
Stadt Lüdenscheid,Lüdenscheid
Stadtverwaltung Ludwigshafen,Ludwigshafen am Rhein
Stadtverwaltung Ludwigshafen am Rhein,Ludwigshafen am Rhein
Stadt Lünen,Lünen
Landeshauptstadt Magdeburg,Magdeburg
Verbandsgemeinde Maifeld,Maifeld
Main-Kinzig-Kreis,Main-Kinzig-Kreis
Stadt Maintal,Maintal
Main-Taunus-Kreis,Main-Taunus-Kreis
Stadt Mainz,Mainz
Landeshauptstadt Mainz,Mainz
Stadt Mainz Stadtplanungsamt,Mainz
Stadtverwaltung Mainz,Mainz
Stadt Mannheim,Mannheim
Stadt Mannheim - Kommunale Statistikstelle,Mannheim
Stadtverwaltung Mannheim,Mannheim
Märkischer Kreis,Märkischer Kreis
Verbandsgemeinde Maxdorf,Maxdorf
ST Mayen,Mayen
Stadt Mayen,Mayen
Stadtverwaltung Mayen,Mayen
Meerbusch,Meerbusch
opendata@meerbusch.de,Meerbusch
Stadt Meerbusch,Meerbusch
"Stadt Meerbusch, Service Finanzen",Meerbusch
Stadtverwaltung Meiningen,Meiningen
Gemeinde Stadt Meiningen und beauftragende Gemeinden,Meiningen
Stadt Meiningen,Meiningen
Stadt Meiningen und beauftragende Gemeinden,Meiningen
Stadt Meiningen und der beauftragenden Gemeinden,Meiningen
Stadt Melle,Melle
Stadt Memmingen - Amt 51 Stadtplanungsamt,Memmingen
Stadt Memmingen - Amt 51.1 Geoinformation und Vermessung,Memmingen
Stadt Memmingen - Amt 54 Abfallwirtschaft und Abwasser,Memmingen
Stadt Memmingen - Amt 55 Stadtgrün und Friedhöfe,Memmingen
Stadt Memmingen - Stabstelle 03 Büro Oberbürgermeister,Memmingen
Stadtverwaltung Menden,Menden (Sauerland)
Menden (Sauerland),Menden (Sauerland)
Stadt Menden (Sauerland),Menden (Sauerland)
Merzenich,Merzenich
Stadt Minden,Minden
Stadt Mittenwalde,Mittenwalde
MoersMarketing GmbH,Moers
Stadt Moers,Moers
Stadt Moers,Moers
Werbering Moers,Moers
Moers,Moers
Stadt Mönchengladbach,Mönchengladbach
Mönchengladbach,Mönchengladbach
Stadt Monschau,Monschau
Stadt Mühlhausen/Thüringen,Mühlhausen
GeodatenService München,München
HAI Stadtentwicklungsplanung Abt. 2,München
"HAI Stadtentwicklungsplanung Abt. 4 – Räumliche Entwicklungsplanung, Flächennutzungsplanung",München
HAII Stadtplanung,München
Stadtkämmerei Landeshauptstadt München,München
beschluesse.rit@muuenchen.de,München
data.opengov@muenchen.de,München
eoGovernment Projekt Landeshauptstadt München,München
freizeitsport@muenchen.de,München
GeodatenService München der Landeshauptstadt München,München
Baureferat der Landeshauptstadt München,München
IT-Referat der Landeshauptstadt München,München
Kreisverwaltungsreferat der Landeshauptstadt München,München
Landeshauptstadt München,München
München Klinik gGmbH,München
Münchener Tierpark Hellabrunn AG,München
Münchner Gewerbehof- und Technologiezentrumsgesellschaft mbH,München
Münchner Verkehrs- und Tarifverbund GmbH (MVV),München
Münchner Verkehrsgesellschaft mbH (MVG),München
P+R Park & Ride GmbH München,München
Referat für Bildung und Sport der Landeshauptstadt München,München
Referat für Stadtplanung und Bauordnung der Landeshauptstadt München,München
Stadtkämmerei der Landeshauptstadt München,München
Statistisches Amt München,München
muenchen.de,München
 Referat für Arbeit und Wirtschaft - München Tourismus ,München
Referat für Arbeit und Wirtschaft (RAW) der Landeshauptstadt München,München
Landeshauptstadt München Mobilitätsreferat,München
Mobilitätsreferat der Landeshauptstadt München,München
Sozialreferat der Landeshauptstadt München,München
Stadtgüter München,München
Bezirksregierung Münster,Münster
Flughafen Münster/Osnabrück,Münster
Münster,Münster
Stadt Münster,Münster
Stadtwerke Münster,Münster
Wirtschaftsförderung Münster GmbH,Münster
Open Data Koodination Münster,Münster
Open Data Koordination der Stadt Münster,Münster
Open Data Koordination Münster,Münster
Open Data Koordination Stadt Münster,Münster
Abfallwirtschaftsbetriebe Münster (AWM),Münster
Stadt Münster,Münster
Stadt Münster - Wahlamt,Münster
Verbandsgemeindeverwaltung Nastätten,Nastätten
Gemeinde Nessetal und der beauftragenden Gemeinden,Nessetal
Stadt Neuhaus am Rennweg und der beauftragenden Gemeinden,Neuhaus am Rennweg
Stadt Neumünster,Neumünster
Neuss,Neuss
Stadt Neuss,Neuss
Neustadt an der Orla,Neustadt an der Orla
Stadt Neustadt an der Orla und der beauftragenden Gemeinden,Neustadt an der Orla
Verwaltungsgericht Neustadt an der Weinstraße,Neustadt an der Weinstraße
Verbandsgemeindeverwaltung Nieder-Olm,Nieder-Olm
Gemeinde Niederorschel,Niederorschel
Niederzier,Niederzier
Samtgemeinde Nord-Elm,Nord-Elm
Norderstedt,Norderstedt
Stadtverwaltung Norderstedt,Norderstedt
Stadt Nordhausen,Nordhausen
Samtgemeinde Nordhümmling,Nordhümmling
Nörvenich,Nörvenich
VAG Verkehrs-Aktiengesellschaft Nürnberg,Nürnberg
Ortsgemeinde Oberdürenbach,Oberdürenbach
Oberhausen,Oberhausen
Stadt Oberhausen,Oberhausen
Oberhof,Oberhof
Stadt Oberhof,Oberhof
Stadt Ober-Ramstadt,Ober-Ramstadt
Odenwaldkreis,Odenwaldkreis
Stadt Oelde,Oelde
Ohrdruf,Ohrdruf
Stadt Ohrdruf und der beauftragenden Gemeinden,Ohrdruf
Stadt Oldenburg (Oldb),Oldenburg
Stadt Oldenburg - Statistikstelle,Oldenburg
Stadt Oldenburg (Oldb) - Team GIS,Oldenburg
Statistikstelle Stadt Oldenburg (Oldb),Oldenburg
Stadt Oldenburg,Oldenburg
Stadt Oldenburg - Fachdienst Geoinformation und Statistik,Oldenburg
Stadt Oldenburg - Fachdienst Klimaschutz,Oldenburg
brauneberg,Ortsgemeinde Brauneberg
Ortsgemeinde Brauneberg,Ortsgemeinde Brauneberg
brenk,Ortsgemeinde Brenk
Ortsgemeinde Brenk,Ortsgemeinde Brenk
Ortsgemeinde Burgbrohl,Ortsgemeinde Burgbrohl
burgen,Ortsgemeinde Burgen
